router,latitude,longitude,type
R1178,41.530459,-41.006017,customer
R1179,37.056949,-39.179659,customer
R1180,36.501685,-42.294997,customer
R1181,36.562539,-43.021188,customer
R1182,40.914823,-42.325431,customer
R1183,42.489056,-43.383290,customer
R1184,40.134456,-44.477477,internal
R1185,37.033303,-38.851128,customer
R1186,39.754677,-44.157227,customer
R1187,39.084240,-42.244366,internal
R1188,39.906176,-41.252530,internal
R1189,40.995263,-37.911891,customer
R1190,39.157509,-42.313779,internal
R1191,40.405855,-43.897285,internal
R1192,41.485691,-36.401148,customer
R1193,39.978812,-42.996913,customer
R1194,37.544563,-41.280437,customer
R1195,37.197184,-39.352382,customer
R1196,37.420771,-37.972467,customer
R1197,40.507359,-43.964011,customer
R1198,41.786502,-42.249950,customer
R1199,38.328787,-43.149098,customer
R1200,41.467591,-41.070948,internal
R1201,41.161442,-41.834182,customer
R1202,40.828502,-36.208704,customer
R1203,37.733543,-39.034103,customer
R1204,40.850410,-39.756463,customer
R1205,42.181724,-37.880800,customer
R1206,37.115860,-42.119058,customer
R1207,38.281945,-39.143197,customer
R1208,41.026550,-40.077620,customer
R1209,42.717145,-40.663896,customer
R1210,39.807614,-37.650822,customer
R1211,41.784180,-37.595069,internal
R1212,36.703406,-39.132466,customer
R1213,40.074777,-43.895588,customer
R1214,41.455652,-39.045515,customer
R1215,39.873087,-42.164993,customer
R1216,37.102489,-34.762441,internal
R1217,38.885324,-42.392812,internal
R1218,42.006233,-41.595169,customer
R1219,38.684904,-41.136348,customer
R1220,33.543675,-24.752196,internal
R1221,38.851335,-41.239472,internal
R1222,40.851076,-43.479264,customer
R1223,38.867713,-40.238122,customer
R1224,38.557959,-39.953509,customer
R1225,37.821328,-41.114924,customer
R1226,37.196989,-39.609856,customer
R1227,42.571187,-40.845528,customer
R1228,40.148510,-44.304608,customer
R1229,40.494467,-44.032623,internal
R1230,40.389389,-38.356353,internal
R1231,40.690649,-43.664058,customer
R1232,36.960890,-41.887697,internal
R1233,40.588302,-43.704215,internal
R1234,41.230296,-37.443459,internal
R1235,38.849449,-39.837373,customer
R1236,40.485514,-42.721053,customer
R1237,38.909169,-40.810379,customer
R1238,36.177266,-43.061220,customer
R1239,37.311143,-38.993803,customer
R1240,42.571570,-41.127405,customer
R1241,38.061378,-39.632630,customer
R1242,40.278891,-41.405397,customer
R1243,39.663857,-43.821442,customer
R1244,39.884004,-44.787854,customer
R1245,42.604000,-42.533073,customer
R1246,40.601574,-40.576769,customer
R1247,40.901150,-44.854154,customer
R1248,41.782392,-42.318573,customer
R1249,38.505837,-39.096838,customer
R1250,39.053492,-42.836987,customer
R1251,37.059832,-39.054933,internal
R1252,42.962525,-40.993586,customer
R1253,37.146639,-40.447756,internal
R1254,39.274322,-42.556653,customer
R1255,37.074217,-39.249180,internal
R1256,41.599358,-37.551382,customer
R1257,37.282664,-39.323872,customer
R1258,42.652343,-41.556602,customer
R1259,41.489006,-42.393592,customer
R1260,37.053626,-39.136271,internal
R1261,40.270362,-36.757322,internal
R1262,40.028473,-44.387714,internal
R1263,40.293196,-43.835446,customer
R1264,37.387003,-41.193025,internal
R1265,42.721502,-37.794763,internal
R1266,39.819426,-44.295857,internal
R1267,37.413102,-39.845629,internal
R1268,40.561758,-37.761203,customer
R1269,41.948404,-42.695918,customer
R1270,40.916463,-42.147238,customer
R1271,38.767512,-40.905983,customer
R1272,41.491950,-38.849442,customer
R1273,41.704647,-37.723572,customer
R1274,39.147169,-43.383163,internal
R1275,40.304367,-36.484448,customer
R1276,39.810101,-44.894852,customer
R1277,40.670834,-44.797132,customer
R1278,41.381205,-41.364621,internal
R1279,40.085349,-38.673355,customer
R1280,38.231563,-40.128826,internal
R1281,37.389693,-39.752897,customer
R1282,37.061636,-41.801401,customer
R1283,39.992013,-36.183030,customer
R1284,43.397156,-40.906830,customer
R1285,36.873881,-39.052360,customer
R1286,42.581762,-37.408916,customer
R1287,40.197714,-43.975426,customer
R1288,40.170322,-44.354931,internal
R1289,37.588383,-43.340865,internal
R1290,41.894035,-42.894917,customer
R1291,41.222010,-37.721854,customer
R1292,39.704433,-41.744198,customer
R1293,42.515889,-39.537272,customer
R1294,40.556856,-43.813488,customer
R1295,41.287985,-42.465301,customer
R1296,43.421040,-38.802097,internal
R1297,41.029817,-46.633461,internal
R1298,37.686503,-39.553458,customer
R1299,37.796819,-42.235011,customer
R1300,37.305330,-37.747378,internal
R1301,38.277231,-44.411236,customer
R1302,37.762275,-41.734717,internal
R1303,41.055609,-44.617660,customer
R1304,41.728184,-42.472282,customer
R1305,41.555481,-37.197296,customer
R1306,38.668104,-44.573178,customer
R1307,38.946026,-41.871763,internal
R1308,41.779060,-37.850925,customer
R1309,42.520294,-40.901857,customer
R1310,37.728034,-40.046021,internal
R1311,38.067942,-42.291422,customer
R1312,40.252616,-40.606172,customer
R1313,37.971479,-37.112346,customer
R1314,40.048168,-39.299581,customer
R1315,39.694222,-38.486785,customer
R1316,42.202678,-43.503463,customer
R1317,42.902275,-39.411463,internal
R1318,40.700826,-38.715228,internal
R1319,38.694391,-39.853858,customer
R1320,38.795287,-40.940532,customer
R1321,37.628750,-42.046952,internal
R1322,39.164342,-40.711843,customer
R1323,42.193777,-42.614910,internal
R1324,40.775079,-39.121549,customer
R1325,41.480694,-37.404007,customer
R1326,41.297414,-43.288915,internal
R1327,42.617519,-41.178916,internal
R1328,38.565429,-40.315331,customer
R1329,39.779267,-42.882085,customer
R1330,36.731460,-43.413789,customer
R1331,39.514050,-43.026194,customer
R1332,37.737659,-40.119743,customer
R1333,42.242588,-42.334282,customer
R1334,40.331903,-43.614655,internal
R1335,39.983194,-42.165900,customer
R1336,41.522554,-41.384658,internal
R1337,41.602201,-37.502999,customer
R1338,37.547647,-43.281525,internal
R1339,40.590373,-43.881427,customer
R1340,40.315241,-43.797196,internal
R1341,36.773346,-43.478298,customer
R1342,41.492657,-37.486156,internal
R1343,37.094067,-39.307327,internal
R1344,40.684576,-44.362028,customer
R1345,40.431290,-44.064337,customer
R1346,38.185374,-41.662881,customer
R1347,38.230059,-40.120879,customer
R1348,41.595237,-36.642022,customer
R1349,37.499787,-39.477063,internal
R1350,38.273124,-43.682623,customer
R1351,38.180852,-41.444894,customer
R1352,38.422303,-42.628547,customer
R1353,40.326870,-44.158480,internal
R1354,42.530732,-41.421455,customer
R1355,40.379470,-44.335331,internal
R1356,41.633356,-43.302200,customer
R1357,38.543820,-43.551599,customer
R1358,41.769679,-42.267939,internal
R1359,37.885145,-41.829877,customer
R1360,38.800618,-42.417709,customer
R1361,41.258941,-41.237768,internal
R1362,39.072358,-42.263140,internal
R1363,39.289047,-41.616568,customer
R1364,41.376018,-29.780578,internal
R1365,36.769576,-43.385181,internal
R1366,39.947051,-37.006234,internal
R1367,38.837324,-42.207051,internal
R1368,38.975228,-42.553159,internal
R1369,39.736003,-43.794585,customer
R1370,38.373661,-39.690726,customer
R1371,37.276652,-39.559149,customer
R1372,37.881374,-41.666188,internal
R1373,38.936530,-42.680147,internal
R1374,40.255469,-44.055039,customer
R1375,38.991612,-40.920405,customer
R1376,38.834360,-42.466283,internal
R1377,37.339022,-39.022798,customer
R1378,40.383736,-43.813735,customer
R1379,40.861806,-44.136247,internal
R1380,39.311339,-39.490274,customer
R1381,41.366161,-41.277046,customer
R1382,37.677776,-43.066947,customer
R1383,40.236190,-44.345565,customer
R1384,38.650991,-42.726027,internal
R1385,37.469895,-41.115899,customer
R1386,39.930432,-43.906932,customer
R1387,36.230539,-32.309662,internal
R1388,40.970673,-38.277215,customer
R1389,38.720627,-40.378703,customer
R1390,42.341217,-39.131225,customer
R1391,37.927360,-41.661347,customer
R1392,42.194367,-41.161666,internal
R1393,40.882158,-43.263360,customer
R1394,42.108537,-42.860758,customer
R1395,39.079523,-42.544694,customer
R1396,37.587281,-42.911722,customer
R1397,37.168204,-39.421626,customer
R1398,42.291337,-41.343654,internal
R1399,37.153638,-38.518163,customer
R1400,38.313485,-39.314062,customer
R1401,37.190135,-39.639413,customer
R1402,43.586078,-37.672190,customer
R1403,39.006965,-42.026983,customer
R1404,23.220077,-169.328991,internal
R1405,42.646364,-40.696446,internal
R1406,39.850557,-44.153661,internal
R1407,39.865217,-37.475297,customer
R1408,38.398076,-40.210809,customer
R1409,40.035620,-43.903230,internal
R1410,38.771137,-44.381620,internal
R1411,36.829375,-39.159490,customer
R1412,41.385034,-40.982661,customer
R1413,39.522735,-42.612767,customer
R1414,37.596007,-40.648504,customer
R1415,37.711630,-37.953385,customer
R1416,40.305839,-40.604106,customer
R1417,39.686355,-45.287786,customer
R1418,39.844440,-43.031162,internal
R1419,36.965250,-34.806842,internal
R1420,40.232950,-43.449030,customer
R1421,41.151480,-41.349244,internal
R1422,38.251220,-40.157421,internal
R1423,40.650776,-42.938112,customer
R1424,39.532144,-40.686241,customer
R1425,37.429433,-39.734281,customer
R1426,41.304335,-41.410650,internal
R1427,37.729735,-41.887655,customer
R1428,42.586427,-40.999163,internal
R1429,39.434461,-38.128629,customer
R1430,38.492990,-40.190900,customer
R1431,40.699174,-38.981690,customer
R1432,37.462898,-39.455729,customer
R1433,41.495777,-40.334750,internal
R1434,40.585092,-44.571874,internal
R1435,42.596560,-41.272355,customer
R1436,40.437060,-44.077808,internal
R1437,39.377785,-41.920475,internal
R1438,42.550615,-40.953721,internal
R1439,39.954656,-40.589377,customer
R1440,41.201573,-37.502302,customer
R1441,36.891985,-43.299379,customer
R1442,40.726625,-44.052375,customer
R1443,40.672629,-43.956221,customer
R1444,42.191994,-43.474029,customer
R1445,39.491185,-41.656406,internal
R1446,40.641086,-51.255198,internal
R1447,43.326153,-41.016813,internal
R1448,42.414074,-41.231842,customer
R1449,37.465686,-40.001185,customer
R1450,37.868743,-39.575210,customer
R1451,41.515699,-37.301073,customer
R1452,38.531419,-43.409424,customer
R1453,40.434722,-39.345582,customer
R1454,39.193023,-42.707720,customer
R1455,38.935899,-42.498452,customer
R1456,39.239254,-42.495426,customer
R1457,37.349010,-39.647211,internal
R1458,37.007126,-38.495337,customer
R1459,41.533887,-42.414617,customer
R1460,39.636811,-42.403309,customer
R1461,37.663937,-38.186845,customer
R1462,41.353710,-36.345470,internal
R1463,36.361361,-41.539655,internal
R1464,41.486808,-39.208064,customer
R1465,40.319504,-43.727705,internal
R1466,39.583686,-41.284592,internal
R1467,40.738473,-44.791291,customer
R1468,38.299474,-42.864877,internal
R1469,42.642979,-40.882683,customer
R1470,41.399938,-43.944668,customer
R1471,40.231520,-43.953483,internal
R1472,42.674969,-40.811967,internal
R1473,37.094869,-42.951994,customer
R1474,41.002396,-39.370868,customer
R1475,38.839201,-42.968501,customer
R1476,40.349057,-44.206275,customer
R1477,37.672278,-42.186143,customer
R1478,38.214852,-42.593494,customer
R1479,40.571779,-42.321944,customer
R1480,44.100665,-42.483425,customer
R1481,39.602619,-37.819528,internal
R1482,39.318985,-42.592439,internal
R1483,39.892986,-40.147216,customer
R1484,37.630872,-41.055484,internal
R1485,40.695448,-39.901414,customer
R1486,39.753914,-44.172726,customer
R1487,39.963620,-37.394772,customer
R1488,42.185340,-41.008772,internal
R1489,41.322176,-38.574229,customer
R1490,38.981350,-42.103244,customer
R1491,42.200739,-43.661864,customer
R1492,38.694939,-41.279173,customer
R1493,37.094083,-39.352827,internal
R1494,36.069227,-40.521000,customer
R1495,36.876691,-39.396178,internal
R1496,41.951547,-41.873914,customer
R1497,37.189749,-39.430180,internal
R1498,41.396345,-41.488787,internal
R1499,37.179535,-39.363727,internal
R1500,41.199507,-43.264391,customer
R1501,42.318258,-41.361426,customer
R1502,38.188215,-38.873216,customer
R1503,40.721956,-38.892790,internal
R1504,39.910602,-44.085715,customer
R1505,39.953332,-39.183043,customer
R1506,41.886079,-37.121116,customer
R1507,39.695883,-39.929317,customer
R1508,41.791981,-41.761986,customer
R1509,37.068306,-33.779390,internal
R1510,36.845285,-40.152690,customer
R1511,37.643960,-41.678052,internal
R1512,39.170383,-42.755985,internal
R1513,42.523564,-41.264321,customer
R1514,40.175595,-44.909053,customer
R1515,43.259286,-38.304795,customer
R1516,39.987990,-44.254962,internal
R1517,39.465426,-44.027332,customer
R1518,39.229330,-42.889029,customer
R1519,40.234089,-43.838395,internal
R1520,40.444903,-44.214808,customer
R1521,42.838468,-37.780541,internal
R1522,39.526011,-42.674977,customer
R1523,42.389055,-37.709318,customer
R1524,38.362377,-39.046421,internal
R1525,39.493488,-44.422816,internal
R1526,40.140490,-44.947157,customer
R1527,38.463055,-39.439810,customer
R1528,38.150419,-42.490380,internal
R1529,40.377053,-43.637490,internal
R1530,41.366302,-41.087801,internal
R1531,29.745915,-125.263149,internal
R1532,41.707810,-40.898315,internal
R1533,38.855680,-43.183430,internal
R1534,41.151195,-44.882925,customer
R1535,39.141631,-42.173632,customer
R1536,40.898220,-43.841846,internal
R1537,41.527900,-41.634124,internal
R1538,37.411120,-34.457176,internal
R1539,39.221901,-42.082888,internal
R1540,37.282990,-39.364824,customer
R1541,38.719717,-44.338395,customer
R1542,37.284812,-39.377439,internal
R1543,37.225319,-39.303350,customer
R1544,37.860732,-40.077852,customer
R1545,39.238163,-42.878227,customer
R1546,41.905740,-37.568576,internal
R1547,39.519306,-42.346578,internal
R1548,42.611072,-41.038195,internal
R1549,37.662158,-42.441830,customer
R1550,40.050058,-44.059373,internal
R1551,37.654578,-41.550269,customer
R1552,38.669161,-40.044713,customer
R1553,40.017479,-38.771786,customer
R1554,37.497501,-42.021434,customer
R1555,40.591142,-44.139384,internal
R1556,40.292012,-38.525529,internal
R1557,39.966240,-43.794475,internal
R1558,40.479456,-43.306346,internal
R1559,39.822450,-44.657055,customer
R1560,41.622437,-37.840203,customer
R1561,41.698029,-37.596626,internal
R1562,39.921282,-44.289958,customer
R1563,38.315135,-38.918230,customer
R1564,43.016291,-41.353488,customer
R1565,38.965806,-42.231275,internal
R1566,38.760040,-39.958271,internal
R1567,40.289602,-44.303318,customer
R1568,38.088817,-42.546759,customer
R1569,39.196093,-43.866861,customer
R1570,41.590285,-37.737494,internal
R1571,38.900268,-38.994682,customer
R1572,41.456063,-37.860120,customer
R1573,39.945307,-40.358119,customer
R1574,40.426509,-44.617068,internal
R1575,38.732636,-42.541076,customer
R1576,37.498471,-38.445013,customer
R1577,40.590333,-38.965187,customer
R1578,38.836842,-42.433337,customer
R1579,40.189707,-38.614145,internal
R1580,38.278498,-44.166781,customer
R1581,40.582177,-42.101669,customer
R1582,39.801082,-42.550580,customer
R1583,38.555079,-40.032304,customer
R1584,36.873486,-42.685711,customer
R1585,40.688480,-44.279207,customer
R1586,42.555053,-37.952028,customer
R1587,40.478912,-44.243051,customer
R1588,42.666504,-40.619011,customer
R1589,34.856673,-35.293939,internal
R1590,38.976895,-42.300710,customer
R1591,37.361558,-42.379971,internal
R1592,40.613379,-42.405210,internal
R1593,39.027656,-42.155200,internal
R1594,40.433772,-44.279320,customer
R1595,37.520902,-41.506267,customer
R1596,41.324001,-41.330080,internal
R1597,40.921462,-36.543320,customer
R1598,40.895144,-42.471685,customer
R1599,41.783100,-37.492932,customer
R1600,39.141913,-42.534717,internal
R1601,39.096982,-42.492407,internal
R1602,37.301066,-39.552590,internal
R1603,40.449322,-43.526127,customer
R1604,41.051366,-42.134556,customer
R1605,40.477583,-44.161318,internal
R1606,38.968393,-42.541031,customer
R1607,37.051931,-41.915056,internal
R1608,42.119344,-40.937279,customer
R1609,38.581497,-41.100065,customer
R1610,38.452185,-43.209088,customer
R1611,38.283407,-44.023934,internal
R1612,37.028874,-39.597643,customer
R1613,37.283561,-42.997718,customer
R1614,39.180749,-39.300677,customer
R1615,41.726755,-37.681874,internal
R1616,38.557074,-41.382549,customer
R1617,37.684514,-39.099492,customer
R1618,41.688060,-38.461489,customer
R1619,41.111456,-41.139563,customer
R1620,40.267263,-44.318269,internal
R1621,40.324779,-41.918953,customer
R1622,42.085750,-42.780766,customer
R1623,41.411179,-36.830662,customer
R1624,39.656060,-44.028289,internal
R1625,37.727582,-41.812254,customer
R1626,38.411764,-39.768173,customer
R1627,39.602672,-44.359905,internal
R1628,38.315995,-38.535650,customer
R1629,38.630076,-40.230387,internal
R1630,40.363432,-43.493992,customer
R1631,37.567575,-42.149228,internal
R1632,37.433891,-37.984470,customer
R1633,38.134023,-43.379239,internal
R1634,38.725283,-42.235687,customer
R1635,38.984572,-42.301885,customer
R1636,36.707609,-39.469362,customer
R1637,41.244866,-40.420754,customer
R1638,42.651380,-36.969033,customer
R1639,42.336678,-38.589268,customer
R1640,40.015348,-37.186155,customer
R1641,37.319600,-42.714385,customer
R1642,37.337977,-39.777176,customer
R1643,40.775913,-42.165987,customer
R1644,40.270798,-44.744017,customer
R1645,40.409184,-38.657842,internal
R1646,36.831600,-39.024644,customer
R1647,40.029862,-43.260996,customer
R1648,39.817470,-44.114555,internal
R1649,42.926121,-41.827437,customer
R1650,42.620102,-38.311158,customer
R1651,40.488176,-38.358863,customer
R1652,41.241262,-43.806174,customer
R1653,38.955355,-41.819652,customer
R1654,40.778691,-43.959464,customer
R1655,39.868058,-38.924887,internal
R1656,40.638765,-38.465283,internal
R1657,39.933710,-36.309088,customer
R1658,36.982308,-40.666259,customer
R1659,40.969868,-42.766432,customer
R1660,37.428739,-38.519846,customer
R1661,41.382182,-29.975040,internal
R1662,39.599613,-40.354853,customer
R1663,38.436184,-43.694293,customer
R1664,37.670614,-37.443026,customer
R1665,40.632678,-43.436572,internal
R1666,41.380819,-41.189230,customer
R1667,43.349736,-40.982146,internal
R1668,39.901388,-44.337234,customer
R1669,42.089402,-42.767065,customer
R1670,36.678075,-40.752187,internal
R1671,38.719062,-42.615906,customer
R1672,39.236069,-39.188493,customer
R1673,38.853367,-44.345457,customer
R1674,37.306094,-39.292973,internal
R1675,43.158107,-38.921832,customer
R1676,41.284997,-43.370556,customer
R1677,40.817918,-42.310269,internal
R1678,41.421988,-41.570084,internal
R1679,40.351346,-44.008660,customer
R1680,39.365552,-38.447807,customer
R1681,40.350845,-38.428230,internal
R1682,38.832416,-39.607828,internal
R1683,43.371873,-40.723543,internal
R1684,42.388649,-41.057519,internal
R1685,40.416717,-44.609891,customer
R1686,40.627022,-43.471673,customer
R1687,31.429316,-31.722164,internal
R1688,41.279503,-37.634795,internal
R1689,39.985904,-44.140428,internal
R1690,40.120585,-44.266763,customer
R1691,36.893563,-39.690161,customer
R1692,40.465437,-38.541440,customer
R1693,39.888101,-37.293813,customer
R1694,41.361361,-41.108757,internal
R1695,40.955668,-40.845471,customer
R1696,40.614211,-42.283580,customer
R1697,38.302933,-42.320111,customer
R1698,40.727876,-43.685748,customer
R1699,36.803977,-39.465390,internal
R1700,40.424001,-41.644542,customer
R1701,40.859283,-43.372459,customer
R1702,42.471675,-42.825251,customer
R1703,40.479587,-38.665533,internal
R1704,37.171023,-40.215799,customer
R1705,41.287935,-42.653793,customer
R1706,38.269768,-39.858910,customer
R1707,43.314300,-40.940290,customer
R1708,40.513417,-43.393756,customer
R1709,37.082939,-41.395105,customer
R1710,38.194540,-44.513660,customer
R1711,38.864251,-42.371190,customer
R1712,40.482806,-38.406093,internal
R1713,36.582782,-43.391852,customer
R1714,40.285293,-39.288918,customer
R1715,38.516703,-39.382016,customer
R1716,41.486329,-41.090042,internal
R1717,37.430290,-39.833553,customer
R1718,41.499996,-37.364666,internal
R1719,36.977414,-42.218509,customer
R1720,39.725561,-39.186501,customer
R1721,40.151827,-37.472003,internal
R1722,42.090045,-37.399783,customer
R1723,40.771787,-43.938443,customer
R1724,38.452156,-39.615059,customer
R1725,41.636958,-37.775263,customer
R1726,38.233959,-39.803353,internal
R1727,39.890664,-36.984099,customer
R1728,39.068628,-42.323475,internal
R1729,39.740343,-43.829424,internal
R1730,41.397470,-42.693617,internal
R1731,38.014191,-42.318003,customer
R1732,36.197222,-31.898514,internal
R1733,40.108850,-43.769950,internal
R1734,39.737354,-40.295402,customer
R1735,40.233200,-38.448463,internal
R1736,40.986184,-43.411048,internal
R1737,42.660923,-41.055136,internal
R1738,37.452193,-39.467568,customer
R1739,41.724509,-42.857463,customer
R1740,37.461993,-40.464747,customer
R1741,40.219409,-44.426629,internal
R1742,42.513822,-41.184436,customer
R1743,38.925480,-42.317517,internal
R1744,41.599286,-46.228275,internal
R1745,40.172733,-44.126727,customer
R1746,43.611496,-40.827207,internal
R1747,39.988885,-38.991347,customer
R1748,38.521764,-40.950381,internal
R1749,40.299344,-44.297375,customer
R1750,41.591948,-40.863918,customer
R1751,38.850634,-41.661536,customer
R1752,40.671603,-38.956409,internal
R1753,38.578517,-42.771833,internal
R1754,41.416781,-39.820583,customer
R1755,36.993701,-39.358097,internal
R1756,41.442810,-41.265938,customer
R1757,37.818042,-38.128936,customer
R1758,39.003661,-42.383304,customer
R1759,38.799818,-40.300545,customer
R1760,43.299296,-40.718778,customer
R1761,39.882260,-40.012513,customer
R1762,40.239742,-44.089700,customer
R1763,38.562471,-42.299251,internal
R1764,39.190288,-42.364719,internal
R1765,41.341905,-42.752349,customer
R1766,39.527244,-42.625669,customer
R1767,42.115197,-42.977377,customer
R1768,39.536990,-44.029806,internal
R1769,39.962184,-43.557509,customer
R1770,41.670872,-41.383011,internal
R1771,39.281805,-42.697931,customer
R1772,37.383417,-39.320027,internal
R1773,37.229743,-39.637007,internal
R1774,37.888081,-42.970784,customer
R1775,37.823089,-40.021353,customer
